"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-320d",7.68928612256815,8.86654381277261,8.7569811616973,7.36232338714127,6.32963655171607,7.11243018653068,7.54309405674527,8.13556723558087,9.40312437097922,7.84867281915935,8.10352481244191,7.10740163413767,9.67048277378043,9.88953336423001,9.92059491877365,8.12524599226275,7.82032815024094,9.22919908042503,8.45987141960052,9.35175555436841,8.9399755816858,8.50981727271429,9.35282948318287,9.60396464706928,9.41921717993367,8.36140188330783,8.57670235165776,8.88402502359502,7.74267900383557,7.71016425670227,7.61447167737787,7.84350429493468,9.30326685661109,8.27429549657819,8.72427459137582,8.34028527705296,7.96569384065569,8.96488137562397,7.77632341651519,8.68392757771668,8.56319023998036,8.38746949815023,7.38094358764753,7.94940846511428,7.92194706173444,10.4676158511405
"hsa-miR-320b",7.68294385631549,7.7910620229532,9.24633318943849,7.29041602700243,7.88221111637599,7.95399577928626,8.32175171625555,8.02106107907804,8.67578434635822,8.6184114012159,6.21631037126371,7.81554468686106,9.10074084170945,8.17096815883682,8.62327863536377,7.92886724393063,6.21631037126371,8.39189794553872,9.03865675468223,8.68386605152701,8.74205803194904,8.02989856468095,8.56435111048381,10.0104700428501,6.21631037126371,7.59374214568022,6.78543539444448,6.21631037126371,8.36348867293999,8.44022047685401,8.10991862538358,7.49208495311017,8.81158327582298,8.8384605226878,8.50811428325392,7.80126648207856,7.30960840696092,8.06763547493876,7.45121418479452,8.03410166484036,7.51889270400463,8.71068963873666,7.11686011021399,8.63500239080497,7.07642039849509,9.69755297947745
"hsa-miR-320a-3p",10.9961970916053,11.4275952335037,11.6521378787586,11.6415095174369,11.4587509200685,11.3704915253188,12.1537313921691,12.021385612185,13.031592084294,11.8215841568054,11.464661140154,12.7996545762713,12.2120165665777,12.5946315287096,13.1763004900591,11.958374936537,11.8865198456688,11.8163002508928,11.7368324533344,13.1726535185735,12.8112376993041,12.3538625852728,12.7253363639091,13.2033429963505,14.4616404196632,12.4056592801162,11.7103560578008,12.0661291645623,13.089011537475,12.4719202350645,12.1244577361279,12.4488522671558,11.9748618044074,12.697985138222,12.2711189222391,13.5604905215972,12.0214011668777,12.8785340252923,11.815432190002,12.1833961827524,11.9157309119979,11.325852722548,11.4204175813901,12.3168912019172,12.8474727397864,12.576008024146
"hsa-miR-320c",7.94389584775409,8.78816183680852,9.66041110405675,7.94699968885717,7.18328564065871,7.74148172601419,8.44847980708532,8.54088389082689,9.4652360446119,8.14704454770568,8.40609567847315,7.53405778032654,9.9344759727604,10.2054135215644,10.0425365539796,8.24915797783171,7.9445747754846,9.5330501720661,8.49597963671022,9.43507319120146,9.44780127694717,8.91653583981124,9.4937274201236,9.8826017852826,9.54170906461763,8.91778641974879,8.8042444273211,8.94159697607232,8.40975053180574,7.94002458812739,7.73894422493115,8.55489607413163,8.83474256844116,9.04020453680015,9.32615562446438,9.17381788005472,8.38437391927086,8.95775704128749,8.48868475965902,9.08501625392329,8.4071347671916,9.06473702611306,7.61463936921012,8.87126737300404,7.56390881934971,10.1775060924485
"hsa-miR-451a",11.4524533768878,11.556071767092,11.2750543026105,11.9125361112483,11.8931924144347,12.244331423944,11.7481302535094,11.3661584467461,11.9545259706859,11.4492582596368,10.9981051704072,10.0619683687967,11.7253556569295,11.6720497295639,12.3616224722185,12.4377086704196,11.2854976258566,11.3135871773193,11.2389441207726,11.1085672637323,12.1997013897502,12.3684824289872,13.4661453271182,13.4564810975515,11.9439302341118,11.3306482859817,11.7908890062105,12.1122160100462,11.8449707869082,13.2883780436992,12.8989565451443,11.4053195101608,10.9277019252053,11.8691099492207,11.2812119211726,12.4893051427598,9.80000137083365,11.4820916581284,11.5312989707457,12.3238430454395,11.502009164159,11.9952163969596,13.2985139474622,12.7101583768094,11.4076064073177,13.4890014001393
"hsa-miR-181a-5p",9.48604641982101,8.9476958069879,9.46773215628697,9.22773708825363,9.40117484756141,9.54744775860806,10.2870505030228,10.1195405975943,10.058092137656,9.69066609872729,9.76284234960713,10.1636489665778,9.85507157035292,10.6550501232909,11.4906307012849,10.6089027243977,9.55834897823586,10.0445400813583,10.4692004012062,10.3513402668541,10.5892683967056,10.7126025616129,9.40001533120248,10.5712058461873,10.6668719510132,9.9611911886242,10.9424934913694,10.9281179299639,10.6034000206514,11.6777658556756,11.3837310699728,10.3060035077916,11.2048752905169,10.416605631199,10.5019526978757,10.1318516327791,9.74635231658421,10.8725313072003,9.94828465835062,9.96600907782063,10.789638217889,8.43945739640946,10.9059170814124,10.2427889621934,10.0130340780577,9.67083511630593
"hsa-miR-181b-5p",6.0183996587751,6.90848306048548,7.90456409268278,7.16148262175645,7.28076970474062,7.20243583632429,7.80332272980713,8.12008698840961,6.86975368929867,8.27122486552762,8.53516517040626,8.4790646392776,8.37957991723342,7.58985417476744,9.15751521452934,8.60625468594433,8.37927618786235,7.51190734574362,7.40032406740611,8.52797945918734,8.66784280521597,8.43600852627267,7.68510342787814,8.47728092775738,5.326947479539,8.45680855851453,9.20276696334543,7.96169018273626,8.3810956599567,9.17264231084592,9.24369322909909,8.57861893463649,7.35380595567359,8.91563904710962,7.64971913456779,8.68901653232193,7.21158527180997,8.6438432635389,8.0551495951231,8.57138130811483,6.195606742982,8.42948099934484,8.19542703187223,8.40640081802083,8.33321791636851,6.48524229178703
"hsa-miR-99a-5p",8.63668455765139,7.29871462048541,8.25238654714564,5.67020689625407,8.29427122875541,7.48913923779184,8.6066543416317,8.51483667417832,6.95456320072854,8.72400126827553,8.23532887242429,7.72608553811886,6.99531809034277,9.69470615708562,9.40456854632808,9.3405065543817,8.42192814038545,8.9631440526349,8.41598983954565,9.30063472474288,9.02727891773858,8.92824128228488,7.58491884925787,9.17908870333691,5.02051536303322,8.15681116610507,9.22460797359377,8.80549940327172,8.73637671910831,9.24107009548178,9.3854190097761,7.48048178620082,8.49302315573431,9.42506210488091,9.6773630745496,8.36356551448017,10.4408118078465,8.76690623244289,7.16365551075124,7.28956521273248,8.85090283663242,6.68042991258605,7.5180746231752,8.09801051933514,8.48212302672341,8.16238959889514
"hsa-miR-483-5p",9.10019003093192,7.95891901242919,7.73003689542934,6.27089658934215,8.12726141727899,7.43301798099981,8.42232539803178,7.11353907935624,8.40065801488519,8.22943605620991,8.80733672816699,6.0843423563966,7.79714414097064,8.87649136275209,8.97997141949315,7.97653656266447,8.94224324524225,8.12778257894081,8.57486728658626,8.39679998698231,8.41450781865588,8.71588217106624,7.00454691255519,9.22041062583893,9.40423519768981,8.36654450862283,8.7587320361097,9.10309824777197,6.42123287420127,6.97668776819975,7.78512138298244,8.59669372470244,7.74402363276478,8.04585174141813,9.4170749804193,9.62889099653588,9.66409813125391,8.71087357906724,6.60148011055917,7.96208584386609,7.25881314339494,5.84635952057253,7.94088095160564,7.97777231315041,8.04711994663795,8.10799794307475
"hsa-miR-22-3p",8.33425320710333,8.38383620094051,7.42175492136486,8.20370331868024,7.61399921163691,8.40866374274461,7.93714514422073,8.18930640932289,7.84946249173017,7.45904723989116,8.73061640204114,9.43869988884552,8.73288295581843,7.55529758501445,9.84732676614685,8.38224272283703,7.7589026369754,8.55433730222024,7.98489530464306,8.71137162505983,8.55489733249374,7.64765921505946,8.76916409386503,9.73288524695605,9.54506058941259,7.81715527856773,8.13442657232903,8.97668815917923,9.633434301418,9.13999064626546,8.90768477838111,8.66954124752629,8.67955270226339,7.8020193722216,7.52631939535812,9.19922496127519,8.33095574564028,9.51447033336286,8.23286129948074,7.84944719536402,9.2600798942144,8.78456606744157,8.08554961155456,7.90837208431562,7.73608591166384,9.1202529256494
