"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-548e-3p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-548bc",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4429",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"hsa-miR-320d",16,13,9,32,3,8,6,11,21,6,6,13,7,13,10,14,10,3,11,13,26,14,24,12,13,12,22,10,27,19,6,6,29,25,30,40,18,6,19,14,32,19,15,67,30,4,16,22,19,18,10,30,8,20,9,14,19,23,19,17,18,11,5,6,14,13,39
"hsa-miR-320b",6,2,6,10,6,7,5,4,5,5,2,3,2,9,3,8,3,0,5,2,13,3,9,3,3,3,5,6,16,16,10,0,22,7,3,6,6,0,4,10,8,7,4,15,19,0,3,1,0,13,8,19,37,81,63,66,78,91,64,80,69,35,31,30,106,47,135
"hsa-miR-320a-3p",101,42,38,457,117,118,108,105,154,63,39,65,61,155,77,131,64,108,159,55,135,178,115,184,76,81,113,121,203,217,80,38,1319,78,106,217,165,68,62,81,273,171,135,403,214,88,170,113,100,560,198,494,605,564,604,609,1830,1336,965,997,768,442,168,367,940,1131,813
"hsa-miR-320c",18,11,17,49,7,13,12,14,20,7,6,8,8,23,14,27,11,6,11,14,30,20,38,23,16,11,25,13,21,31,8,7,39,28,35,40,18,6,22,13,31,26,19,68,34,4,23,24,18,29,11,30,15,20,17,24,37,37,24,32,28,13,9,9,29,14,42
"hsa-miR-548j-5p",4,0,0,9,2,0,1,4,0,0,2,3,2,3,4,2,0,2,2,1,1,0,0,3,5,0,2,2,3,5,8,2,67,2,2,2,7,0,2,0,3,3,3,4,2,0,7,1,4,9,1,7,7,1,0,1,0,5,3,6,2,0,0,0,2,2,0
"hsa-miR-548au-5p",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,7,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"hsa-miR-548c-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,2,0,0,0,0,2,1,0,0,5,0,0,0,3,0,0,0,0,0,1,2,0,0,0,1,0,1,1,4,1,1,1,0,1,0,1,2,1,0,0,0,4,0,0
"hsa-miR-548b-5p",0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-548ad-5p",3,0,0,10,1,2,0,1,1,0,0,3,4,5,3,0,2,0,1,0,1,1,1,2,2,1,1,0,2,1,0,0,6,2,0,3,1,0,1,0,2,2,3,8,2,0,3,2,2,1,1,15,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1
"hsa-miR-548ay-5p",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-548d-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,1,1,1,0,0
"hsa-miR-548k",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0
"hsa-miR-548l",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,2,0,0,0,1,0,0,0,1,2,0,0,0,2,0,2,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,3,1
"hsa-miR-106a-5p",2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"hsa-miR-548at-5p",3,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-543",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"hsa-miR-451a",429,137,84,1647,480,676,230,186,193,139,136,104,221,839,312,754,243,287,323,108,473,212,227,1001,310,325,437,728,484,498,322,79,473,156,151,330,688,126,124,163,162,306,392,1996,725,36,217,352,300,618,1046,2557,34,28,42,34,132,28,47,82,93,34,24,124,140,53,184
"hsa-miR-641",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0
"hsa-miR-3667-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-10527-5p",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"hsa-miR-320e",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0
"hsa-miR-148a-5p",2,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1277-5p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-376c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,11,0,1,8,5,0,5,2,5,5,18,3,1,1,2,12,8,2
"hsa-miR-181c-5p",0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,1,0,0,0,2,2,0,3,2,0,1,1,1,0,3,1,1,0,0,2,1,0,0,2,0,1,0,0,0,0,0
"hsa-miR-181a-5p",68,13,15,150,51,62,55,52,33,26,29,26,42,94,39,55,45,19,42,28,59,54,39,110,80,63,58,153,198,184,113,22,368,27,51,127,126,24,34,66,66,66,82,65,60,10,55,136,90,176,232,605,37,70,35,45,61,73,66,67,44,45,6,50,59,49,33
"hsa-miR-181b-5p",2,2,4,24,8,8,7,10,2,8,11,5,10,29,7,9,11,12,7,8,11,14,13,26,17,13,11,39,34,34,20,8,93,8,4,20,25,9,4,5,15,14,13,15,11,0,16,34,8,29,32,111,14,8,15,9,27,17,19,23,20,3,6,11,21,19,5
"hsa-miR-181d-5p",0,0,0,9,1,0,0,2,1,2,0,0,0,5,0,0,0,0,0,1,1,1,1,2,0,2,1,1,2,3,2,0,9,0,0,0,2,0,0,0,3,1,0,3,1,0,3,1,0,1,4,0,0,0,0,0,2,1,0,1,1,1,0,0,0,1,2
"hsa-miR-181c-3p",0,1,0,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,2,2,0,0,0,9,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,0,3,2,2,1,4,1,1,4,5,0,1,0,0,2,1,0
"hsa-miR-100-5p",40,2,2,8,13,17,9,2,3,3,2,0,5,12,6,6,6,9,5,2,11,22,4,9,9,13,6,10,12,9,17,0,17,3,16,6,26,4,4,8,12,4,10,8,5,0,2,16,6,17,5,44,40,8,24,12,16,61,10,22,1,1,54,8,16,6,9
"hsa-miR-99a-5p",43,4,7,5,26,14,18,18,3,15,5,4,8,45,23,21,35,17,38,9,29,39,37,42,30,24,14,41,65,60,29,8,63,3,30,31,58,12,18,16,36,24,25,18,25,0,16,44,21,50,43,158,4,9,12,17,13,64,12,7,5,9,1,4,10,12,8
"hsa-miR-122-3p",3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,4,1,1,0,3,0,0,0,0,0
"hsa-miR-483-5p",68,8,5,15,25,15,17,6,12,11,13,12,24,43,19,32,18,24,50,16,35,66,46,18,17,24,29,41,30,41,27,14,14,7,17,24,21,20,10,20,19,16,23,12,28,5,21,33,29,7,7,47,7,4,4,14,27,41,10,2,6,2,0,4,7,7,6
"hsa-miR-576-3p",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"hsa-miR-1179",1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
