"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22"
"hsa-miR-204-5p",0,0,0,0,1,0,2,1,0,1,0,1,0,1,0,1,1,2,1,0,0,0,0,0,1,0,7,4,4,4,2,1,0,7,3,3,1,1,2,2,4,1,4,5,4,10
"hsa-miR-200c-3p",0,0,1,0,1,1,1,1,1,0,2,2,3,1,4,8,4,10,3,1,0,0,4,2,1,2,4,4,1,0,6,2,0,2,6,0,2,4,4,6,0,6,4,6,6,4
"hsa-miR-4433b-5p",5,4,1,9,4,5,0,5,4,2,30,16,13,27,34,25,16,47,13,6,2,5,26,34,7,9,11,12,16,8,3,5,11,19,17,9,2,2,11,1,10,7,8,22,23,20
"hsa-miR-10b-5p",75,72,23,30,48,43,95,84,44,49,6,14,10,29,23,26,15,20,9,24,7,20,22,4,37,101,53,111,250,121,133,128,33,144,57,144,122,206,200,172,136,97,301,355,271,277
"hsa-miR-10a-5p",75,40,17,50,70,30,84,76,31,18,73,51,51,134,104,159,88,119,89,86,43,60,104,95,91,71,43,77,162,92,131,145,45,106,59,109,78,149,124,136,128,97,206,257,224,194
"hsa-miR-99b-5p",39,17,18,21,28,10,37,29,19,15,8,17,6,9,18,23,14,39,12,3,5,3,39,21,23,19,18,32,97,42,45,64,55,82,22,44,52,56,63,44,62,49,80,125,90,78
"hsa-miR-30a-3p",9,6,3,4,9,2,8,5,3,4,7,12,20,21,34,58,16,29,18,16,9,14,18,12,24,5,7,6,21,8,8,19,5,10,5,13,5,9,13,10,17,11,20,33,23,31
"hsa-miR-125a-5p",190,109,53,67,183,84,212,166,105,110,15,5,9,18,12,33,17,32,21,21,4,11,44,17,12,167,134,190,478,222,271,298,206,329,111,392,270,379,325,291,366,208,420,622,532,485
"hsa-miR-150-5p",130,70,92,59,150,113,189,117,36,59,29,40,26,96,27,42,48,48,46,31,45,80,140,30,108,198,117,135,322,144,254,179,93,212,110,339,230,230,436,260,281,162,236,701,569,360
"hsa-miR-30a-5p",54,27,13,15,38,25,53,61,20,26,25,18,14,64,37,111,29,37,20,27,22,24,19,21,28,47,37,42,101,61,74,83,48,77,35,65,62,84,127,53,68,47,141,146,128,146
"hsa-miR-199a-3p",104,66,58,317,112,51,104,101,65,58,26,16,16,16,46,64,42,51,28,21,5,5,32,35,5,131,108,150,392,187,189,147,136,244,181,290,160,161,313,159,126,300,212,317,303,222
"hsa-miR-181b-5p",2,2,4,24,8,8,7,10,2,8,14,8,15,9,27,17,19,23,20,3,6,11,21,19,5,11,5,10,29,7,9,11,12,7,8,11,14,13,26,17,13,11,39,34,34,20
