"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21"
"hsa-piR-27571",0,1,0,0,1,0,0,0,0,0,1,0,17,7,2,14,8,2,2,8,1,2,1,4,1,0,120,0,0,0,0,1,2,3,2,2,1,2,1,0,7,0,3,34,2,3
"hsa-miR-628-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,32,0,0,3,1,1,1,2,2,1,2,0,0,0,4,6,2,6,2,4
"hsa-miR-199b-5p",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,11,2,0,1,0,0,7,2,4,4,0,1,3,3,5,13,4
"hsa-miR-760",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,1,2,0,0,0,0,2,1,0,1,49,2,1,2,1,0,0,0,2,1,0,4,0,0,4,0,0,8,2,2
"hsa-piR-33165",0,0,1,0,1,0,0,4,0,0,0,1,2,0,1,2,0,1,2,2,0,1,0,1,1,0,53,1,2,0,4,2,29,1,11,2,2,2,2,1,2,1,0,17,2,2
"hsa-miR-375-3p",6,0,0,0,2,0,0,0,1,0,3,0,1,2,3,5,0,1,0,1,0,0,1,2,1,3,4,1,0,6,0,1,5,0,1,4,2,9,1,1,0,4,2,2,114,7
"hsa-miR-28-5p",0,0,0,1,0,0,0,0,0,0,5,7,3,2,7,9,4,12,10,2,2,0,6,2,5,0,10,2,1,2,2,1,0,0,2,0,4,0,0,0,2,2,0,4,2,5
"hsa-miR-12136",2,2,5,0,0,0,2,3,2,0,2,2,7,3,1,4,3,6,5,5,0,1,0,1,2,3,240,3,1,1,9,3,16,5,31,3,6,3,2,0,24,4,14,49,5,6
"hsa-miR-200c-3p",0,0,1,0,1,1,1,1,1,0,2,2,3,1,4,8,4,10,3,1,0,0,4,2,1,1,20,1,0,1,3,4,2,3,4,2,2,2,2,1,3,9,4,7,8,11
"hsa-piR-27572",0,2,1,0,2,0,2,3,0,0,0,6,20,10,8,19,20,5,4,11,0,4,6,6,5,1,145,0,1,1,0,0,3,2,14,3,3,1,0,2,7,0,3,43,4,5
"hsa-miR-335-5p",8,1,3,16,5,4,5,12,6,1,130,75,58,107,162,310,210,230,119,110,14,40,133,273,46,1,551,26,4,8,42,2,3,3,23,8,11,15,8,3,30,13,9,72,15,27
"hsa-miR-95-3p",1,1,2,0,2,0,1,3,3,1,5,1,1,6,4,7,4,7,9,1,3,2,2,6,5,3,7,1,0,14,7,3,6,0,2,6,6,9,3,1,1,5,7,20,12,39
"hsa-miR-199a-3p",104,66,58,317,112,51,104,101,65,58,26,16,16,16,46,64,42,51,28,21,5,5,32,35,5,88,7171,142,118,397,504,136,146,149,267,287,188,187,204,31,424,303,183,815,269,715
"hsa-miR-146a-5p",109,83,115,647,154,125,84,361,93,62,4,5,4,5,2,12,3,22,9,5,1,2,12,10,0,97,13598,292,230,293,883,167,168,191,725,320,259,182,425,35,1032,221,274,1857,298,1140
"hsa-miR-222-3p",4,1,2,8,9,1,6,9,8,0,0,2,0,0,6,2,3,2,1,0,1,0,3,0,6,2,68,7,3,14,9,3,13,14,22,20,15,14,25,0,17,32,7,71,21,69
"hsa-piR-28096",8,5,7,10,8,4,9,15,6,4,8,6,0,10,8,13,9,12,7,10,3,10,4,5,11,5,309,8,8,20,23,17,16,23,36,17,10,15,15,3,38,10,15,127,49,40
"hsa-miR-221-3p",39,15,31,161,44,31,31,54,22,8,20,21,13,10,25,62,21,48,27,17,2,6,22,20,8,15,2711,35,30,79,127,35,51,54,132,87,49,72,96,17,148,68,43,591,153,332
"hsa-miR-23a-3p",51,39,38,80,93,66,65,89,39,28,64,45,29,36,106,154,88,132,79,38,11,20,88,82,35,41,2295,76,62,125,177,83,94,104,138,125,136,161,159,19,213,165,114,562,248,738
